food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
"Pepperoni & Mushroom, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,136,350,150,17,30,730,37,2,3,14,
"Italian Sausage & Red Onion, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,148,390,180,20,35,770,38,2,3,15,
"Ham & Pineapple, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,137,340,130,15,25,740,39,2,4,14,
"Veggie Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,149,330,130,15,20,690,38,2,4,13,
"Meat Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,160,480,250,28,60,1180,37,2,3,20,
"Pepperoni Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,145,430,200,23,55,1070,37,2,3,20,
"Hawaiian Luau, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",15.49,145,380,160,18,35,860,39,2,4,15,
"Dan's Original, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,154,420,200,22,40,880,37,2,3,17,
"Triple Meat Italiano, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,146,420,200,23,45,1000,37,2,3,18,
"Spicy Sicilian, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,148,400,180,21,35,960,38,2,3,16,
"Ultimate Cheese Lover's, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,129,400,190,21,40,800,36,2,3,16,
"Cheese Only, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",13.99,88,260,100,11,35,740,29,1,5,12,
"Pepperoni, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.99,86,280,120,13,35,850,28,1,5,13,
"Supreme, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,120,330,150,17,45,930,30,2,5,15,
"Pepperoni & Mushroom, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,99,260,100,11,30,740,29,1,5,12,
"Italian Sausage & Red Onion, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,110,300,120,14,35,780,30,1,6,13,
"Ham & Pineapple, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,100,240,80,9,25,750,31,1,7,11,
"Veggie Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,117,240,80,9,20,710,30,2,6,10,
"Meat Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,117,390,200,23,60,1210,28,1,5,18,
"Pepperoni Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,104,350,170,18,55,1080,29,1,5,17,
"Hawaiian Luau, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.49,110,300,120,14,35,900,31,1,7,13,
"Dan's Original, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,115,320,150,16,40,890,29,1,5,15,
"Triple Meat Italiano, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,103,320,150,17,45,1000,28,1,5,15,
"Spicy Sicilian, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,110,300,130,15,35,1020,30,2,5,13,
"Ultimate Cheese Lover's, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99,88,300,130,15,40,800,28,1,5,14,
"Cheese Only, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",13.99,123,320,100,12,35,800,38,2,5,15,
"Pepperoni, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",15.99,121,330,120,14,35,910,38,2,5,15,
